phrase	pos	var	phrase_ipa	expected_ipa	phrase_shaw	expected_shaw	classification
safety valve	NN1	RSSB	ˈseɪftɪ ˌvælv	ˈseɪfti vælv	𐑕𐑱𐑓𐑑𐑦 𐑝𐑨𐑤𐑝	𐑕𐑱𐑓𐑑𐑦𐑝𐑨𐑤𐑝	matches
safety valve	NN1	GenAm	ˈseɪfti ˌvælv	ˈseɪfti vælv	𐑕𐑱𐑓𐑑𐑦 𐑝𐑨𐑤𐑝	𐑕𐑱𐑓𐑑𐑦𐑝𐑨𐑤𐑝	matches
safety valve	VVI	RSSB	ˈseɪftɪ ˌvælv	ˈseɪfti vælv	𐑕𐑱𐑓𐑑𐑦 𐑝𐑨𐑤𐑝	𐑕𐑱𐑓𐑑𐑦𐑝𐑨𐑤𐑝	matches
safety valve	VVI	GenAm	ˈseɪfti ˌvælv	ˈseɪfti vælv	𐑕𐑱𐑓𐑑𐑦 𐑝𐑨𐑤𐑝	𐑕𐑱𐑓𐑑𐑦𐑝𐑨𐑤𐑝	matches
operating system	NN1	RSSB	ɒpəreɪtɪŋ ˌsɪstəm	ˈɒpəreɪtɪŋ ˈsɪstəm	𐑪𐑐𐑼𐑱𐑑𐑦𐑙 𐑕𐑦𐑕𐑑𐑩𐑥	𐑪𐑐𐑼𐑱𐑑𐑦𐑙𐑕𐑦𐑕𐑑𐑩𐑥	matches
operating system	NN1	GenAm	ˈɒpəˌreɪtɪŋ ˌsɪstəm	ˈɒpəreɪtɪŋ ˈsɪstəm	𐑪𐑐𐑼𐑱𐑑𐑦𐑙 𐑕𐑦𐑕𐑑𐑩𐑥	𐑪𐑐𐑼𐑱𐑑𐑦𐑙𐑕𐑦𐑕𐑑𐑩𐑥	matches
United Arab Emirates	NP0	RSSB	juˌnaɪtɪd arəb ˈemɪrɪts	juːˈnaɪtƏd ˈærəb eˈmɪrəts	𐑘𐑫𐑯𐑲𐑑𐑦𐑛 𐑨𐑮𐑩𐑚 𐑧𐑥𐑦𐑮𐑦𐑑𐑕	𐑿𐑯𐑲𐑑𐑩𐑛𐑨𐑮𐑩𐑚𐑧𐑥𐑦𐑮𐑩𐑑𐑕	divergent
United Arab Emirates	NP0	GenAm	jəˌnaɪtɪd ˌerəb ˈemɪrɪts	juːˈnaɪtƏd ˈærəb eˈmɪrəts	𐑘𐑩𐑯𐑲𐑑𐑦𐑛 𐑧𐑮𐑩𐑚 𐑧𐑥𐑦𐑮𐑦𐑑𐑕	𐑿𐑯𐑲𐑑𐑩𐑛𐑨𐑮𐑩𐑚𐑧𐑥𐑦𐑮𐑩𐑑𐑕	divergent
New Zealand	NP0	RSSB	nju ˈziːlənd	njuː ˈziːlənd	𐑯𐑘𐑫 𐑟𐑰𐑤𐑩𐑯𐑛	𐑯𐑿𐑟𐑰𐑤𐑩𐑯𐑛	divergent
New Zealand	NP0	GenAm	nu ˈzilənd	nuː ˈziːlənd	𐑯𐑫 𐑟𐑦𐑤𐑩𐑯𐑛	𐑯𐑵𐑟𐑰𐑤𐑩𐑯𐑛	divergent
New Zealand	NN1	RSSB	nju ˈziːlənd	njuː ˈziːlənd	𐑯𐑘𐑫 𐑟𐑰𐑤𐑩𐑯𐑛	𐑯𐑿𐑟𐑰𐑤𐑩𐑯𐑛	divergent
New Zealand	NN1	GenAm	nu ˈzilənd	nuː ˈziːlənd	𐑯𐑫 𐑟𐑦𐑤𐑩𐑯𐑛	𐑯𐑵𐑟𐑰𐑤𐑩𐑯𐑛	divergent
Solomon Islands	NP0	RSSB	ˈsɒləmən ˈaɪləndz	ˈsɒləmən ˈaɪləndz	𐑕𐑪𐑤𐑩𐑥𐑩𐑯 𐑲𐑤𐑩𐑯𐑛𐑟	𐑕𐑪𐑤𐑩𐑥𐑩𐑯𐑲𐑤𐑩𐑯𐑛𐑟	matches
Solomon Islands	NP0	GenAm	ˈsɒləmən ˈaɪləndz	ˈsɒləmən ˈaɪləndz	𐑕𐑪𐑤𐑩𐑥𐑩𐑯 𐑲𐑤𐑩𐑯𐑛𐑟	𐑕𐑪𐑤𐑩𐑥𐑩𐑯𐑲𐑤𐑩𐑯𐑛𐑟	matches
Antigua and Barbuda	NP0	RSSB	æntiːɡə əndbɑːbjuːdə		𐑨𐑯𐑑𐑰𐑜𐑩 𐑩𐑯𐑛𐑚𐑭𐑚𐑿𐑛𐑩		unknown
Antigua and Barbuda	NP0	GenAm	ænˌtiɡwə ənd bɑːRˈbjudə	ænˈtiːɡə N bɑːRˈbjudə	𐑨𐑯𐑑𐑦𐑜𐑢𐑩 𐑩𐑯𐑛 𐑚𐑸𐑚𐑘𐑫𐑛𐑩	𐑨𐑯𐑑𐑰𐑜𐑩𐑯𐑚𐑸𐑚𐑘𐑫𐑛𐑩	divergent
Dominican Republic	NP0	RSSB	dəmˌɪnɪkən rɪˈpʌblɪk	dəˈmɪnɪkən rɪˈpʌblɪk	𐑛𐑩𐑥𐑦𐑯𐑦𐑒𐑩𐑯 𐑮𐑦𐑐𐑳𐑚𐑤𐑦𐑒	𐑛𐑩𐑥𐑦𐑯𐑦𐑒𐑩𐑯𐑮𐑦𐑐𐑳𐑚𐑤𐑦𐑒	matches
Dominican Republic	NP0	GenAm	doʊˌmɪnɪkən rəˈpʌblɪk	dəˈmɪnɪkən rɪˈpʌblɪk	𐑛𐑴𐑥𐑦𐑯𐑦𐑒𐑩𐑯 𐑮𐑩𐑐𐑳𐑚𐑤𐑦𐑒	𐑛𐑩𐑥𐑦𐑯𐑦𐑒𐑩𐑯𐑮𐑦𐑐𐑳𐑚𐑤𐑦𐑒	divergent
full stop	NN1	RSSB	ˌfʊl ˈstɒp	fʊl stɒp	𐑓𐑫𐑤 𐑕𐑑𐑪𐑐	𐑓𐑫𐑤𐑕𐑑𐑪𐑐	matches
full stop	ITJ	RSSB	ˌfʊl ˈstɒp	fʊl stɒp	𐑓𐑫𐑤 𐑕𐑑𐑪𐑐	𐑓𐑫𐑤𐑕𐑑𐑪𐑐	matches
full stop	VVI	RSSB	ˌfʊl ˈstɒp	fʊl stɒp	𐑓𐑫𐑤 𐑕𐑑𐑪𐑐	𐑓𐑫𐑤𐑕𐑑𐑪𐑐	matches
Marshall Islands	NP0	RSSB	mɑːRʃəl ˈaɪləndz	ˈmɑːRʃəl ˈaɪləndz	𐑥𐑸𐑖𐑩𐑤 𐑲𐑤𐑩𐑯𐑛𐑟	𐑥𐑸𐑖𐑩𐑤𐑲𐑤𐑩𐑯𐑛𐑟	matches
Marshall Islands	NP0	GenAm	ˈmɑːRʃəl ˈaɪləndz	ˈmɑːRʃəl ˈaɪləndz	𐑥𐑸𐑖𐑩𐑤 𐑲𐑤𐑩𐑯𐑛𐑟	𐑥𐑸𐑖𐑩𐑤𐑲𐑤𐑩𐑯𐑛𐑟	matches
French Polynesia	NP0	RSSB	ˈfrentʃ pɒlɪˈniːʒə		𐑓𐑮𐑧𐑯𐑗 𐑐𐑪𐑤𐑦𐑯𐑰𐑠𐑩		unknown
French Polynesia	NP0	RSSB	ˈfrentʃ pɒlɪˈniːziə		𐑓𐑮𐑧𐑯𐑗 𐑐𐑪𐑤𐑦𐑯𐑰𐑟𐑾		unknown
French Polynesia	NP0	RSSB	ˈfrentʃ pɒlɪˈniːʃə		𐑓𐑮𐑧𐑯𐑗 𐑐𐑪𐑤𐑦𐑯𐑰𐑖𐑩		unknown
French Polynesia	NP0	GenAm	ˈfrentʃ pɒlɪˈniʒə	frentʃ ˌpɑːləˈniːʒə	𐑓𐑮𐑧𐑯𐑗 𐑐𐑪𐑤𐑦𐑯𐑦𐑠𐑩	𐑓𐑮𐑧𐑯𐑗𐑐𐑭𐑤𐑩𐑯𐑰𐑠𐑩	divergent
French Polynesia	NP0	GenAm	ˈfrentʃ pɒləˈniʒə	frentʃ ˌpɑːləˈniːʒə	𐑓𐑮𐑧𐑯𐑗 𐑐𐑪𐑤𐑩𐑯𐑦𐑠𐑩	𐑓𐑮𐑧𐑯𐑗𐑐𐑭𐑤𐑩𐑯𐑰𐑠𐑩	divergent
Papua New Guinea	NP0	RSSB	ˈpæpuːə ˌnjuː ˈɡɪni	ˈpæpuə njuː ˈɡɪni	𐑐𐑨𐑐𐑵𐑩 𐑯𐑿 𐑜𐑦𐑯𐑦	𐑐𐑨𐑐𐑫𐑩𐑯𐑿𐑜𐑦𐑯𐑦	divergent
Papua New Guinea	NP0	RSSB	ˈpæpjuːə ˌnjuː ˈɡɪni	ˈpæpuə njuː ˈɡɪni	𐑐𐑨𐑐𐑿𐑩 𐑯𐑿 𐑜𐑦𐑯𐑦	𐑐𐑨𐑐𐑫𐑩𐑯𐑿𐑜𐑦𐑯𐑦	divergent
Papua New Guinea	NP0	GenAm	ˈpæpuə ˌnu ˈɡɪni	ˈpæpuə nuː ˈɡɪni	𐑐𐑨𐑐𐑫𐑩 𐑯𐑫 𐑜𐑦𐑯𐑦	𐑐𐑨𐑐𐑫𐑩𐑯𐑵𐑜𐑦𐑯𐑦	divergent
San Marino	NP0	RSSB	ˌsæn məriːnəʊ		𐑕𐑨𐑯 𐑥𐑼𐑰𐑯𐑴		unknown
San Marino	NP0	GenAm	ˌsæn məˈrinoʊ		𐑕𐑨𐑯 𐑥𐑼𐑦𐑯𐑴		unknown
El Salvador	NP0	RSSB	el sælvədɔːR		𐑧𐑤 𐑕𐑨𐑤𐑝𐑩𐑛𐑹		unknown
El Salvador	NP0	GenAm	el ˈsælvədɔːR		𐑧𐑤 𐑕𐑨𐑤𐑝𐑩𐑛𐑹		unknown
Trinidad and Tobago	NP0	RSSB	ˌtrɪnɪdæd ænd təˈbeɪɡəʊ	ˈtrɪnɪdæd N təˈbeɪɡəʊ	𐑑𐑮𐑦𐑯𐑦𐑛𐑨𐑛 𐑨𐑯𐑛 𐑑𐑩𐑚𐑱𐑜𐑴	𐑑𐑮𐑦𐑯𐑦𐑛𐑨𐑛𐑯𐑑𐑩𐑚𐑱𐑜𐑴	divergent
Trinidad and Tobago	NP0	RSSB	trɪnədæd ændtəbeɪɡəʊ	ˈtrɪnɪdæd N təˈbeɪɡəʊ	𐑑𐑮𐑦𐑯𐑩𐑛𐑨𐑛 𐑨𐑯𐑛𐑑𐑩𐑚𐑱𐑜𐑴	𐑑𐑮𐑦𐑯𐑦𐑛𐑨𐑛𐑯𐑑𐑩𐑚𐑱𐑜𐑴	divergent
Trinidad and Tobago	NP0	GenAm	ˌtrɪnɪdæd ænd toʊˈbeɪɡoʊ	ˈtrɪnɪdæd N təˈbeɪɡəʊ	𐑑𐑮𐑦𐑯𐑦𐑛𐑨𐑛 𐑨𐑯𐑛 𐑑𐑴𐑚𐑱𐑜𐑴	𐑑𐑮𐑦𐑯𐑦𐑛𐑨𐑛𐑯𐑑𐑩𐑚𐑱𐑜𐑴	divergent
Trinidad and Tobago	NP0	GenAm	ˌtrɪnədæd ænd təˈbeɪɡoʊ	ˈtrɪnɪdæd N təˈbeɪɡəʊ	𐑑𐑮𐑦𐑯𐑩𐑛𐑨𐑛 𐑨𐑯𐑛 𐑑𐑩𐑚𐑱𐑜𐑴	𐑑𐑮𐑦𐑯𐑦𐑛𐑨𐑛𐑯𐑑𐑩𐑚𐑱𐑜𐑴	divergent
United States	NP0	RSSB	juːˌnaɪtɪd ˈsteɪts	juːˈnaɪtƏd steɪts	𐑿𐑯𐑲𐑑𐑦𐑛 𐑕𐑑𐑱𐑑𐑕	𐑿𐑯𐑲𐑑𐑩𐑛𐑕𐑑𐑱𐑑𐑕	matches
United States	NP0	RSSB	jəˌnaɪtɪd ˈsteɪts	juːˈnaɪtƏd steɪts	𐑘𐑩𐑯𐑲𐑑𐑦𐑛 𐑕𐑑𐑱𐑑𐑕	𐑿𐑯𐑲𐑑𐑩𐑛𐑕𐑑𐑱𐑑𐑕	divergent
United States	NP0	GenAm	juˌnaɪtɪd ˈsteɪts	juːˈnaɪtƏd steɪts	𐑘𐑫𐑯𐑲𐑑𐑦𐑛 𐑕𐑑𐑱𐑑𐑕	𐑿𐑯𐑲𐑑𐑩𐑛𐑕𐑑𐑱𐑑𐑕	divergent
Bosnia and Herzegovina	NP0	GenAm	ˈbɒzniə ænd ˌhɜːRtsɪɡoʊˈviːnə		𐑚𐑪𐑟𐑯𐑾 𐑨𐑯𐑛 𐑣𐑻𐑑𐑕𐑦𐑜𐑴𐑝𐑰𐑯𐑩		unknown
Bosnia and Herzegovina	NP0	RSSB	bɒzniːə əndhɜːRtsəɡɒvɪnə		𐑚𐑪𐑟𐑯𐑰𐑩 𐑩𐑯𐑛𐑣𐑻𐑑𐑕𐑩𐑜𐑪𐑝𐑦𐑯𐑩		unknown
Burkina Faso	NP0	GenAm	bərˈkiːnə ˈfɒsoʊ		𐑚𐑼𐑒𐑰𐑯𐑩 𐑓𐑪𐑕𐑴		unknown
Burkina Faso	NP0	RSSB	bəRːkiːnə ˈfasəʊ		𐑚𐑼𐑒𐑰𐑯𐑩 𐑓𐑨𐑕𐑴		unknown
North Korea	NP0	GenAm	norθ ˌkəˈriə	nɔːRθ kəˈrɪə	𐑯𐑪𐑮𐑔 𐑒𐑼𐑾	𐑯𐑹𐑔𐑒𐑼𐑾	divergent
North Korea	NP0	RSSB	nɔːRθ kəriːə	nɔːRθ kəˈrɪə	𐑯𐑹𐑔 𐑒𐑼𐑰𐑩	𐑯𐑹𐑔𐑒𐑼𐑾	divergent
Costa Rica	NP0	RSSB	ˌkɒstə riːkə		𐑒𐑪𐑕𐑑𐑩 𐑮𐑰𐑒𐑩		unknown
Costa Rica	NP0	GenAm	ˌkoʊstə ˈrikə		𐑒𐑴𐑕𐑑𐑩 𐑮𐑦𐑒𐑩		unknown
Costa Rica	NP0	GenAm	ˌkɒstə ˈrikə		𐑒𐑪𐑕𐑑𐑩 𐑮𐑦𐑒𐑩		unknown
Puerto Rico	NP0	GenAm	ˌpɔːRtəˈrikoʊ		𐑐𐑹𐑑𐑼𐑦𐑒𐑴		unknown
Puerto Rico	NP0	GenAm	ˌpɒəRtəˈrikoʊ		𐑐𐑪𐑼𐑑𐑼𐑦𐑒𐑴		unknown
Puerto Rico	NP0	RSSB	pwɜːrtəriːkəʊ		𐑐𐑢𐑻𐑑𐑼𐑰𐑒𐑴		unknown
Puerto Rico	NP0	RSSB	pweərtəriːkəʊ		𐑐𐑢𐑺𐑑𐑼𐑰𐑒𐑴		unknown
Western Sahara	NP0	GenAm	ˈwestəRn səˈheərə	ˈwestəRn səˈhɑːrə	𐑢𐑧𐑕𐑑𐑼𐑯 𐑕𐑩𐑣𐑺𐑩	𐑢𐑧𐑕𐑑𐑼𐑯𐑕𐑩𐑣𐑸𐑩	divergent
Saint Lucia	NP0	RSSB	seɪnt ˈluːʃə	ˈseɪnt ˈluːsiə	𐑕𐑱𐑯𐑑 𐑤𐑵𐑖𐑩	𐑕𐑱𐑯𐑑𐑤𐑵𐑕𐑾	divergent
Saint Lucia	NP0	GenAm	seɪnt ˈluʃə	ˈseɪnt ˈluːsiə	𐑕𐑱𐑯𐑑 𐑤𐑫𐑖𐑩	𐑕𐑱𐑯𐑑𐑤𐑵𐑕𐑾	divergent
New Caledonia	NP0	RSSB	ˈnjuː ˌkælɪˈdəʊniə		𐑯𐑿 𐑒𐑨𐑤𐑦𐑛𐑴𐑯𐑾		unknown
New Caledonia	NP0	RSSB	ˈnjuː ˌkæləˈdəʊniə		𐑯𐑿 𐑒𐑨𐑤𐑩𐑛𐑴𐑯𐑾		unknown
New Caledonia	NP0	GenAm	ˈnu ˌkælɪˈdoʊniə		𐑯𐑫 𐑒𐑨𐑤𐑦𐑛𐑴𐑯𐑾		unknown
New Caledonia	NP0	GenAm	ˈnu ˌkæləˈdoʊniə		𐑯𐑫 𐑒𐑨𐑤𐑩𐑛𐑴𐑯𐑾		unknown
American Samoa	NP0	RSSB	əmerɪkən səˈməʊə	əˈmerɪkən səˈməʊə	𐑩𐑥𐑧𐑮𐑦𐑒𐑩𐑯 𐑕𐑩𐑥𐑴𐑩	𐑩𐑥𐑧𐑮𐑦𐑒𐑩𐑯𐑕𐑩𐑥𐑴𐑩	matches
American Samoa	NP0	GenAm	əˈmerɪkən səˈmoʊə	əˈmerɪkən səˈməʊə	𐑩𐑥𐑧𐑮𐑦𐑒𐑩𐑯 𐑕𐑩𐑥𐑴𐑩	𐑩𐑥𐑧𐑮𐑦𐑒𐑩𐑯𐑕𐑩𐑥𐑴𐑩	matches
Norfolk Island	NP0	RSSB	nɔːRfək ˈaɪlənd	ˈnɔːRfək ˈaɪlənd	𐑯𐑹𐑓𐑩𐑒 𐑲𐑤𐑩𐑯𐑛	𐑯𐑹𐑓𐑩𐑒𐑲𐑤𐑩𐑯𐑛	matches
Norfolk Island	NP0	GenAm	ˈnɔːRfɒk ˈaɪlənd	ˈnɔːRfək ˈaɪlənd	𐑯𐑹𐑓𐑪𐑒 𐑲𐑤𐑩𐑯𐑛	𐑯𐑹𐑓𐑩𐑒𐑲𐑤𐑩𐑯𐑛	divergent
abominable snowman	NN1	GenAm	əˈbɒmənəbəl ˈsnoʊmæn	əˈbɒmɪnəbəl ˈsnəʊmæn	𐑩𐑚𐑪𐑥𐑩𐑯𐑩𐑚𐑩𐑤 𐑕𐑯𐑴𐑥𐑨𐑯	𐑩𐑚𐑪𐑥𐑦𐑯𐑩𐑚𐑩𐑤𐑕𐑯𐑴𐑥𐑨𐑯	matches
abominable snowman	NN1	GenAm	əˈbɒmnəbəl ˈsnoʊmæn	əˈbɒmɪnəbəl ˈsnəʊmæn	𐑩𐑚𐑪𐑥𐑯𐑩𐑚𐑩𐑤 𐑕𐑯𐑴𐑥𐑨𐑯	𐑩𐑚𐑪𐑥𐑦𐑯𐑩𐑚𐑩𐑤𐑕𐑯𐑴𐑥𐑨𐑯	divergent
couch potato	NN1	RSSB	ˈkaʊtʃ pəˌteɪtəʊ	kaʊtʃ pəˈteɪtəʊ	𐑒𐑬𐑗 𐑐𐑩𐑑𐑱𐑑𐑴	𐑒𐑬𐑗𐑐𐑩𐑑𐑱𐑑𐑴	matches
couch potato	NN1	GenAm	ˈkaʊtʃ pəˌteɪtoʊ	kaʊtʃ pəˈteɪtəʊ	𐑒𐑬𐑗 𐑐𐑩𐑑𐑱𐑑𐑴	𐑒𐑬𐑗𐑐𐑩𐑑𐑱𐑑𐑴	matches
deoxyribonucleic acid	NN1	RSSB	diɒksɪˌraɪbəʊnjuːˈkleɪɪk ˈæsƏd		𐑛𐑦𐑪𐑒𐑕𐑦𐑮𐑲𐑚𐑴𐑯𐑿𐑒𐑤𐑱𐑦𐑒 𐑨𐑕𐑩𐑛		unknown
deoxyribonucleic acid	NN1	GenAm	diɒksiˌraɪboʊnuːˈkleɪɪk ˈæsƏd	diɒksiˌraɪboʊnuˈkleɪɪk ˈæsɪd	𐑛𐑦𐑪𐑒𐑕𐑦𐑮𐑲𐑚𐑴𐑯𐑵𐑒𐑤𐑱𐑦𐑒 𐑨𐑕𐑩𐑛	𐑛𐑦𐑪𐑒𐑕𐑦𐑮𐑲𐑚𐑴𐑯𐑫𐑒𐑤𐑱𐑦𐑒𐑨𐑕𐑦𐑛	divergent
solar system	NP0	RSSB	səʊləR ˌsɪstəm	ˈsəʊləR ˈsɪstəm	𐑕𐑴𐑤𐑼 𐑕𐑦𐑕𐑑𐑩𐑥	𐑕𐑴𐑤𐑼𐑕𐑦𐑕𐑑𐑩𐑥	matches
solar system	NP0	GenAm	ˈsoʊləR ˌsɪstəm	ˈsəʊləR ˈsɪstəm	𐑕𐑴𐑤𐑼 𐑕𐑦𐑕𐑑𐑩𐑥	𐑕𐑴𐑤𐑼𐑕𐑦𐑕𐑑𐑩𐑥	matches
solar system	NN1	RSSB	səʊləR ˌsɪstəm	ˈsəʊləR ˈsɪstəm	𐑕𐑴𐑤𐑼 𐑕𐑦𐑕𐑑𐑩𐑥	𐑕𐑴𐑤𐑼𐑕𐑦𐑕𐑑𐑩𐑥	matches
solar system	NN1	GenAm	ˈsoʊləR ˌsɪstəm	ˈsəʊləR ˈsɪstəm	𐑕𐑴𐑤𐑼 𐑕𐑦𐑕𐑑𐑩𐑥	𐑕𐑴𐑤𐑼𐑕𐑦𐑕𐑑𐑩𐑥	matches
half past	NN1	RSSB	ˈhɑːf ˌpɑːst	hⱭːf pⱭːst	𐑣𐑭𐑓 𐑐𐑭𐑕𐑑	𐑣𐑭𐑓𐑐𐑭𐑕𐑑	matches
half past	NN1	RSSB	ˈhɑːˌpɑːst	hⱭːf pⱭːst	𐑣𐑭𐑐𐑭𐑕𐑑	𐑣𐑭𐑓𐑐𐑭𐑕𐑑	divergent
half past	NN1	RSSB	ˈhɑːpəst	hⱭːf pⱭːst	𐑣𐑭𐑐𐑩𐑕𐑑	𐑣𐑭𐑓𐑐𐑭𐑕𐑑	divergent
half past	NN1	GenAm	ˈhæf ˌpæst	hⱭːf pⱭːst	𐑣𐑨𐑓 𐑐𐑨𐑕𐑑	𐑣𐑭𐑓𐑐𐑭𐑕𐑑	matches
half past	NN1	GenAm	ˈhæˌpæst	hⱭːf pⱭːst	𐑣𐑨𐑐𐑨𐑕𐑑	𐑣𐑭𐑓𐑐𐑭𐑕𐑑	divergent
leap year	NN1	RSSB	ˈliːp jɪəR	liːp jɪəR	𐑤𐑰𐑐 𐑘𐑽	𐑤𐑰𐑐𐑘𐑽	matches
leap year	NN1	GenAm	ˈlip ˌjɪər	liːp jɪəR	𐑤𐑦𐑐 𐑘𐑽	𐑤𐑰𐑐𐑘𐑽	divergent
white stork	NN1	GenAm	waɪt stɔːRk	ʍaɪt stɔːRk	𐑢𐑲𐑑 𐑕𐑑𐑹𐑒	𐑢𐑲𐑑𐑕𐑑𐑹𐑒	matches
white stork	NN1	RSSB	waɪt stɔːRk	ʍaɪt stɔːRk	𐑢𐑲𐑑 𐑕𐑑𐑹𐑒	𐑢𐑲𐑑𐑕𐑑𐑹𐑒	matches
red deer	NN1	GenAm	red dɪr	red dɪəR	𐑮𐑧𐑛 𐑛𐑦𐑮	𐑮𐑧𐑛𐑛𐑽	divergent
red deer	NN1	RSSB	red dɪəR	red dɪəR	𐑮𐑧𐑛 𐑛𐑽	𐑮𐑧𐑛𐑛𐑽	matches
relative pronoun	NN1	RSSB	relətɪv ˈprəʊnaʊn	ˈrelətɪv ˈprəʊnaʊn	𐑮𐑧𐑤𐑩𐑑𐑦𐑝 𐑐𐑮𐑴𐑯𐑬𐑯	𐑮𐑧𐑤𐑩𐑑𐑦𐑝𐑐𐑮𐑴𐑯𐑬𐑯	matches
